Org.nr,ID,Selskap,rho,sum ir k per sum akg,sum renter avvik,inntektsramme 2026,D&V-kostnader eks utredningskostnader,Årslønn-justerte D&V-kostnader eks utredningskostnader,AVS,BFV,AKG (inkl 1 % arbeids-kapital),Nettap MWh i LD,Nettap MWh i RD,Nettaps- kostnad i LD,Nettaps- kostnad i RD,KILE,KPI-justert KILE,Årslønn-justerte kostnader knyttet til utred.ansvar og KDS,Sum kostnader,Kostnadsgrunnlag,K* lok distribusjonsnett,K* reg distribusjonsnett,Inntektsramme før kalibrering,Tillegg i kostnadsnorm for kundevekst,K* etter kalibrering,Inntektsramme etter kalibrering
917983550,63,NORANETT HADSEL AS,0.7,-0.00023,-0.00098,,28079.65944396628,30630.390632871604,11899,351325,354838.25,7946,883,1796.56127926,199.64304173,2900,3051.9461077844317,0,47577.541061646036,76418.43008497937,56978.18568647944,12656.170406446,71529.82816133062,0,70247.71935363972,72098.93257304162
982897327,65,LUCERNA AS,0.7,-0.00023,-0.00098,,50609.61107240587,55206.94294811325,14268,317956,321135.56,12615,19485,2852.20495065,4405.48660035,13112,13799.005988023953,0,90531.64048713722,116633.20943413209,68063.33779642882,39115.892557900705,106931.5834580253,2422,110156.33610804382,112099.39810587029
917424799,71,LINEA AS,0.7,-0.00023,-0.00098,,231170.1908308611,252169.4845322018,82221,2022315,2042538.15,75506,35536,17071.627982859998,8034.55847216,44766,47111.52395209581,289,406897.19493931765,572912.6008603945,380114.665312628,147847.48513271505,535823.0946393465,587,532079.8235332003,544329.6567313586
917743193,82,ASKER NETT AS,0.7,-0.00023,-0.00098,,21403.37367740644,23347.63702916468,5228,121540,122755.4,8961,0,5594.530175850001,0.0,1138,1197.6257485029942,0,35367.79295351767,45345.225962543314,45087.70008022688,,45164.95784492181,0,45299.89155736974,45313.491878921806
923488960,84,HØLAND OG SETSKOG ELVERK AS,0.7,-0.00023,-0.00098,,18338.95789861354,20004.852457533012,8258,99289,100281.89,10302,0,6431.743094700001,0.0,539,567.241017964072,0,35261.83657019708,43412.64573617657,37920.23694946294,,39567.95958547703,32,38125.58135932008,39711.70067237703
979379455,86,ELINETT AS,0.7,-0.00023,-0.00098,,90002.4010873823,98178.13883050093,49659,1216335,1228498.35,29732,15159,11330.176904200001,5776.74396915,6215,6540.636227544911,872,172356.69593139587,272207.78182108817,228180.92254476057,43208.67639038262,267591.3330225217,2188,275701.14608300035,274653.1368044267
824914982,88,JÆREN EVERK AS,0.7,-0.00023,-0.00098,,26317.606196996603,28708.274042451256,10314,281801,284619.01,7948,1522,5330.340903799999,1020.7321156999999,524,551.4550898203594,0,45924.80215177161,69058.34336763828,49040.02876225467,12940.840467950495,63389.5989904451,206,62678.85351891945,64592.7004735351
977285712,91,KE NETT AS,0.7,-0.00023,-0.00098,,18608.582957228253,20298.970015698564,5779,201439,203453.38999999998,11200,3030,7511.300719999999,2032.0751054999998,625,657.7470059880241,0,36279.092847186585,52815.575716242995,43142.52949942231,4853.888160179282,48019.71250274401,557,48905.10137660159,50078.24367849401
979399901,93,VESTMAR NETT AS,0.7,-0.00023,-0.00098,,24700.316506564406,26944.071200771177,9385,239026,241416.26,8062,1315,5406.7952147,881.90718275,983,1034.5044910179643,0,43652.27808923914,63274.344095618624,61450.489270447804,6779.868860851281,66126.21889266995,0,68647.66338072765,67035.66759519494
824701482,95,NOREFJELL NETT AS,0.7,-0.00023,-0.00098,,10167.88739911342,11091.529210580227,2656,36783,37150.83,3477,0,2170.7601184500004,0.0,1468,1544.9161676646709,0,17463.2054966949,20482.786855679515,21871.168498023937,,21454.65400532061,0,21935.38636130965,21499.60650962061
923789324,96,HARINGNETT AS,0.7,-0.00023,-0.00098,,34268.73143180874,37381.67239328174,9200,237522,239897.22,7132,0,3977.6419232000003,0.0,676,711.4191616766468,0,51270.733478158385,70769.33347132761,58334.19826618988,,62064.7388277312,2890,61638.87774647559,64378.0144639312
913680294,98,YMBER PRODUKSJON AS,0.7,-0.00023,-0.00098,,128.0,139.62740569668975,681,5636,5692.36,0,0,0.0,0.0,0,0.0,0,820.6274056966897,1283.296588178741,,1664.0761918436885,1549.8423107442043,0,1673.9158427008315,1556.7300663442043
924527994,104,BREHEIM NETT AS,0.7,-0.00023,-0.00098,,19489.173907334625,21259.553061349623,4052,73833,74571.33,10080,0,5621.793408,0.0,1754,1845.9011976047907,0,32779.24766695441,38840.32888593903,33793.608506445045,2971.2664133446697,37387.511109634506,1015,37908.77679021828,38188.242418934504
919173122,116,MELØY ENERGI AS,0.7,-0.00023,-0.00098,,28081.16455287671,30632.032464531407,6545,104997,106046.97,7181,528,1623.59760211,119.37885168,2555,2688.8697604790423,0,41608.87867880045,50228.26763427738,41985.67362970627,,44458.451831077604,1014,43182.98339213484,45296.5686647776
933584801,121,MOSTRAUM NETT AS,0.7,-0.00023,-0.00098,,5135.018722256072,5601.479237441765,1018,13414,13548.14,1149,0,640.8175224,0.0,365,384.124251497006,0,7644.421011338771,8745.599935010567,7314.713482465042,,7743.9794182287,226,7564.132410179328,7918.5726676286995
923152601,132,KYSTNETT AS,0.7,-0.00023,-0.00098,,55001.19519464101,59997.454650351276,16298,355428,358982.28,10756,8872,2431.89191036,2005.92646232,3593,3781.2559880239523,0,84514.52901105525,113692.2405425014,63922.95112055258,37281.322782371404,103546.51537117321,0,101824.80041549541,105385.0324535972
921683057,133,VISSI AS,0.7,-0.00023,-0.00098,,53025.28551963967,57842.055104949504,11669,284507,287352.07,15978,4208,3612.5668411799998,951.4132724799999,6501,6841.621257485031,0,80916.65647609455,104272.33800562276,82203.86209328409,23993.523192369463,104953.88181090832,2704,109398.09386379641,107860.36710634432
923436596,135,KLIVE AS,0.7,-0.00023,-0.00098,,41692.34157085255,45479.63664811244,16714,266146,268807.46,14748,126,9177.080159077128,78.40467182287213,3025,3183.4955089820364,0,74632.6169879945,96481.01163683552,95882.49227377304,,96062.04808269179,0,96347.1451689159,96387.30510929177
