id;selskap;nettnivaa;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
187;Sira Kvina Kraftselskap;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
187;Sira Kvina Kraftselskap;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
194;SKIAKERNETT AS (Inaktiv i brreg);dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
194;SKIAKERNETT AS (Inaktiv i brreg);rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
197;SYGNIR AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
197;SYGNIR AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
213;STRAUMEN NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
213;STRAUMEN NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
214;SØR AURDAL ENERGI AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
214;SØR AURDAL ENERGI AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
215;TENSIO TS AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
215;TENSIO TS AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
222;TINFOS AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
222;TINFOS AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
223;STANNUM AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
223;STANNUM AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
227;ARVA AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
227;ARVA AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
238;INDRE HORDALAND KRAFTNETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
238;INDRE HORDALAND KRAFTNETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
242;UVDAL KRAFTFORSYNING SA;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
242;UVDAL KRAFTFORSYNING SA;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
248;VANG ENERGIVERK AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
248;VANG ENERGIVERK AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
249;BARENTS NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
249;BARENTS NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
251;TELEMARK NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
251;TELEMARK NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
257;ENIDA AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
257;ENIDA AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
264;ELVENETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
264;ELVENETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
267;STRAUMNETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
267;STRAUMNETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
269;LINJA AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
