orgn;selskap;nettnivaa;komponent;avg_5yr_1000NOK;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
917424799;LINEA AS;ld;sf;94597.8;54090.0;123995.0;86791.0;113515.0;96489.7;99577.4;101967.2;104312.5;106294.4;108420.3;110588.7;112800.5;115056.5;117357.6;119704.8
917424799;LINEA AS;ld;gf;33389.8;34926.0;31538.0;29443.0;37652.0;34057.5;35147.4;35990.9;36818.7;37518.3;38268.6;39034.0;39814.7;40611.0;41423.2;42251.7
917424799;LINEA AS;rd;sf;34385.5;16859.0;77543.0;20084.0;23056.0;35073.2;36195.6;37064.2;37916.7;38637.1;39409.9;40198.1;41002.0;41822.1;42658.5;43511.7
917424799;LINEA AS;rd;gf;5867.0;7268.0;12960.0;3240.0;0.0;5984.3;6175.8;6324.1;6469.5;6592.4;6724.3;6858.8;6995.9;7135.9;7278.6;7424.2
917537534;HYDRO ALUMINIUM AS;ld;sf;5011.8;645.0;2663.0;8108.0;8631.0;5112.0;5275.6;5402.2;5526.4;5631.4;5744.1;5858.9;5976.1;6095.6;6217.6;6341.9
917537534;HYDRO ALUMINIUM AS;ld;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917537534;HYDRO ALUMINIUM AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917537534;HYDRO ALUMINIUM AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917743193;ASKER NETT AS;ld;sf;7721.0;8580.0;6055.0;5666.0;10583.0;7875.4;8127.4;8322.5;8513.9;8675.7;8849.2;9026.2;9206.7;9390.8;9578.6;9770.2
917743193;ASKER NETT AS;ld;gf;2433.5;1938.0;2278.0;2410.0;3108.0;2482.2;2561.6;2623.1;2683.4;2734.4;2789.1;2844.9;2901.8;2959.8;3019.0;3079.4
917743193;ASKER NETT AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917743193;ASKER NETT AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917856222;MIDTNETT AS;ld;sf;43404.0;32812.0;37367.0;54945.0;48492.0;44272.1;45688.8;46785.3;47861.4;48770.7;49746.2;50741.1;51755.9;52791.0;53846.8;54923.8
917856222;MIDTNETT AS;ld;gf;15514.5;17595.0;18907.0;19294.0;6262.0;15824.8;16331.2;16723.1;17107.8;17432.8;17781.5;18137.1;18499.8;18869.8;19247.2;19632.2
917856222;MIDTNETT AS;rd;sf;979.8;171.0;522.0;1052.0;2174.0;999.3;1031.3;1056.1;1080.4;1100.9;1122.9;1145.4;1168.3;1191.6;1215.5;1239.8
917856222;MIDTNETT AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917983550;NORANETT HADSEL AS;ld;sf;20783.2;41847.0;20571.0;28863.0;-8148.0;21198.9;21877.3;22402.3;22917.6;23353.0;23820.1;24296.5;24782.4;25278.1;25783.6;26299.3
917983550;NORANETT HADSEL AS;ld;gf;7258.2;4599.0;16860.0;4509.0;3065.0;7403.4;7640.3;7823.7;8003.6;8155.7;8318.8;8485.2;8654.9;8828.0;9004.6;9184.6
917983550;NORANETT HADSEL AS;rd;sf;14987.8;61852.0;2717.0;1712.0;-6330.0;15287.5;15776.7;16155.3;16526.9;16840.9;17177.7;17521.3;17871.7;18229.2;18593.7;18965.6
917983550;NORANETT HADSEL AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
918312730;ENIDA AS;ld;sf;27353.2;12143.0;16699.0;26811.0;53760.0;27900.3;28793.1;29484.2;30162.3;30735.4;31350.1;31977.1;32616.6;33269.0;33934.3;34613.0
918312730;ENIDA AS;ld;gf;7583.0;1602.0;3584.0;13486.0;11660.0;7734.7;7982.2;8173.7;8361.7;8520.6;8691.0;8864.8;9042.1;9223.0;9407.4;9595.6
918312730;ENIDA AS;rd;sf;13112.8;10322.0;8061.0;-2678.0;36746.0;13375.0;13803.0;14134.3;14459.4;14734.1;15028.8;15329.4;15635.9;15948.7;16267.6;16593.0
918312730;ENIDA AS;rd;gf;1706.0;854.0;-833.0;6718.0;85.0;1740.1;1795.8;1838.9;1881.2;1916.9;1955.3;1994.4;2034.3;2075.0;2116.5;2158.8
918999361;TENDRANETT AS;ld;sf;27663.8;19706.0;12700.0;33979.0;44270.0;28217.0;29120.0;29818.8;30504.7;31084.3;31706.0;32340.1;32986.9;33646.6;34319.5;35005.9
918999361;TENDRANETT AS;ld;gf;7559.8;2214.0;2591.0;4351.0;21083.0;7710.9;7957.7;8148.7;8336.1;8494.5;8664.4;8837.7;9014.4;9194.7;9378.6;9566.2
918999361;TENDRANETT AS;rd;sf;13498.5;44900.0;1431.0;3873.0;3790.0;13768.5;14209.1;14550.1;14884.7;15167.5;15470.9;15780.3;16095.9;16417.8;16746.2;17081.1
918999361;TENDRANETT AS;rd;gf;82.2;0.0;0.0;329.0;0.0;83.9;86.6;88.7;90.7;92.4;94.3;96.2;98.1;100.0;102.0;104.1
919173122;MELØY ENERGI AS;ld;sf;11204.0;4672.0;4463.0;14603.0;21078.0;11428.1;11793.8;12076.8;12354.6;12589.3;12841.1;13097.9;13359.9;13627.1;13899.6;14177.6
919173122;MELØY ENERGI AS;ld;gf;4905.0;3314.0;4545.0;2566.0;9195.0;5003.1;5163.2;5287.1;5408.7;5511.5;5621.7;5734.1;5848.8;5965.8;6085.1;6206.8
